name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"kyoto, japan",2023-02-24,44.3,42.5,43.4,43.8,40.4,42.5,39.7,86.6,0.239,100,4.17,rain,0,0,19.9,6.9,162.3,1019.8,98.1,8.9,34.8,3,1,10,2023-02-24T06:33:34,2023-02-24T17:47:30,0.13,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"47649099999,47759099999,47780099999,47772099999,47770099999,47761099999"
"kyoto, japan",2023-02-25,46.6,33.7,41.3,45.4,29.4,37.4,27.8,59.9,0,0,0,rain,0,0,25.7,15.4,347.3,1024.9,43.8,7.3,211.8,18.4,7,10,2023-02-25T06:32:22,2023-02-25T17:48:25,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47649099999,RJOY,47759099999,47780099999,47772099999,47770099999,RJBE,47761099999,RJOO"
"kyoto, japan",2023-02-26,44.5,31.9,38.5,39.6,25.4,35,26.7,63.1,0.004,100,4.17,rain,0,0,25.3,13.8,337,1031.4,52.4,6.2,191.1,16.5,7,10,2023-02-26T06:31:08,2023-02-26T17:49:19,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"RJOY,RJBE,RJOO"
"kyoto, japan",2023-02-27,53.7,30.1,42.8,53.7,28.7,42,26.1,54.4,0,0,0,,0,0,19.9,5.1,2.7,1033.4,9,13.2,225.4,19.3,8,10,2023-02-27T06:29:53,2023-02-27T17:50:14,0.25,Clear,Clear conditions throughout the day.,clear-day,"remote,RJOO"
"kyoto, japan",2023-02-28,55.7,38.2,46.4,55.7,38.2,46,32.1,58.3,0,0,0,,0,0,15.4,10.3,223.2,1030.8,0.8,15,224.4,19.3,8,10,2023-02-28T06:28:38,2023-02-28T17:51:08,0.26,Clear,Clear conditions throughout the day.,clear-day,
"kyoto, japan",2023-03-01,58.7,40.9,49.9,58.7,40.9,49.9,37.9,65.1,0.004,85.7,4.17,rain,0,0,26.8,11.9,213.9,1022.5,63.9,15,192.5,16.7,7,10,2023-03-01T06:27:22,2023-03-01T17:52:01,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
"kyoto, japan",2023-03-02,52.6,37.5,43.6,52.6,32.6,37.9,31.2,62.5,0.068,85.7,41.67,"rain,snow",0,0,27.1,18.1,312.3,1019.7,61.2,13.9,201.3,17.4,8,10,2023-03-02T06:26:05,2023-03-02T17:52:55,0.32,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,
"kyoto, japan",2023-03-03,53.7,34.4,43.4,53.7,32.1,42.6,25.5,50.8,0,0,0,,0,0,15.9,5.1,293.1,1027.3,34.6,15,229.5,19.8,8,10,2023-03-03T06:24:48,2023-03-03T17:53:48,0.36,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
"kyoto, japan",2023-03-04,57.8,39.5,48.2,57.8,39.5,48.1,27.5,46,0,4.8,0,,0,0,4.5,3.6,128,1027,91.6,15,188.4,16.4,7,10,2023-03-04T06:23:30,2023-03-04T17:54:40,0.39,Overcast,Cloudy skies throughout the day.,cloudy,
"kyoto, japan",2023-03-05,54.4,44.7,49.2,54.4,42.4,48,34.9,58.3,0.02,0,12.5,rain,0,0,18.2,7.2,14.2,1020.6,100,15,94,8,3,10,2023-03-05T06:22:12,2023-03-05T17:55:33,0.42,Overcast,Cloudy skies throughout the day.,cloudy,
"kyoto, japan",2023-03-06,52.2,43.2,47.6,52.2,39.4,43.8,35.7,64.3,0.051,4.8,8.33,rain,0,0,29.5,17.2,331.6,1016,60,15,214.4,18.6,7,10,2023-03-06T06:20:52,2023-03-06T17:56:25,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"kyoto, japan",2023-03-07,62.3,38.9,50,62.3,36.5,49.3,33.3,56.6,0,4.8,0,,0,0,11.2,7.4,303.5,1020.8,0.7,15,239.9,20.7,7,10,2023-03-07T06:19:33,2023-03-07T17:57:17,0.5,Clear,Clear conditions throughout the day.,clear-day,
"kyoto, japan",2023-03-08,65,44.9,53.9,65,44.9,53.9,32.6,46.9,0,4.8,0,,0,0,7.2,5.4,220.9,1024.4,0,15,243.6,21.2,8,10,2023-03-08T06:18:12,2023-03-08T17:58:08,0.52,Clear,Clear conditions throughout the day.,clear-day,
"kyoto, japan",2023-03-09,61.8,43.7,52.6,61.8,39,52.1,40.3,63.9,0.252,14.3,8.33,rain,0,0,30.6,15,193.8,1019.1,57.1,13,128.5,10.8,5,10,2023-03-09T06:16:52,2023-03-09T17:58:59,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"kyoto, japan",2023-03-10,49.4,38.2,42.8,44.5,34.1,38.3,26.3,52.8,0.012,28.6,4.17,rain,0,0,23.9,12.3,332.3,1020.2,8.8,15,246.1,21.2,8,10,2023-03-10T06:15:30,2023-03-10T17:59:50,0.59,Clear,Clear conditions throughout the day.,clear-day,
"kyoto, japan",2023-03-11,57.1,37.3,46.7,57.1,35.2,46,35.2,65,0.012,33.3,8.33,rain,0,0,30,15.2,114.9,1013.1,28.9,14.2,203.5,17.5,7,10,2023-03-11T06:14:09,2023-03-11T18:00:41,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"kyoto, japan",2023-03-12,46.8,36.2,41.3,40,32.1,35,34.8,78.1,0.662,28.6,25,rain,0.3,0.2,32,17.7,244.9,1003.8,76.4,10.3,168.8,14.4,6,10,2023-03-12T06:12:47,2023-03-12T18:01:32,0.66,Partially cloudy,Partly cloudy throughout the day.,snow,
"kyoto, japan",2023-03-13,42.3,38.5,40.3,36.3,31.4,33.7,35.4,82.7,0.196,28.6,33.33,rain,0,0.1,37.6,14.3,294.6,1013.1,72.6,8.8,68.8,6.1,2,10,2023-03-13T06:11:24,2023-03-13T18:02:22,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"kyoto, japan",2023-03-14,54.8,37.7,46.1,0,0,35.9,31.9,60.5,0.205,0,0,,,,27.5,10.1,210.4,1019.2,11.4,9,,,,,2023-03-14T06:10:02,2023-03-14T18:03:12,0.73,Clear,,clear-day,
