name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
liestal switzerland,2023-02-24,55.2,39.7,46.3,55.2,39.7,45.8,41.9,85.6,0.051,100,20.83,rain,0,0,22.1,9.8,282.4,1009.2,92.7,5.8,126.8,11,5,10,2023-02-24T07:19:31,2023-02-24T18:05:55,0.14,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06670099999,06601099999,06641099999,06645099999,07299099999,06643099999,LFSB,06626099999"
liestal switzerland,2023-02-25,46.3,31.9,40.8,42.7,27.3,36.7,33.4,75.9,0.063,100,16.67,rain,0,0,22.6,13.9,348.9,1007.9,83.5,6,52.9,4.8,3,10,2023-02-25T07:17:42,2023-02-25T18:07:26,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,LFSB
liestal switzerland,2023-02-26,37.3,27.4,33,33.7,17.1,23.7,21.4,63.2,0.024,100,12.5,"rain,snow",0.1,0,38.5,17.2,20.8,1012.8,76.7,6.9,135.3,11.6,5,10,2023-02-26T07:15:51,2023-02-26T18:08:57,0.2,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,LFSB
liestal switzerland,2023-02-27,32.4,26.1,28.6,23.5,15.9,19,18.3,65.4,0.012,9.5,12.5,snow,0,0,35.8,13.9,69.8,1019.5,94.8,14.9,85,7.3,3,10,2023-02-27T07:14:00,2023-02-27T18:10:28,0.25,Overcast,Cloudy skies throughout the day.,cloudy,
liestal switzerland,2023-02-28,32.8,25.8,28.8,25.5,18.4,21.7,20.2,70.4,0,14.3,0,,0,0,22.8,8.9,75.1,1024,81,14.9,142.5,12.2,6,10,2023-02-28T07:12:08,2023-02-28T18:11:59,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
liestal switzerland,2023-03-01,37.3,26.7,30.7,33,22.2,27.2,23.8,75.8,0,0,0,,0,0,16.3,5.8,92.4,1022.1,60.6,15,114.8,9.9,5,10,2023-03-01T07:10:15,2023-03-01T18:13:29,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
liestal switzerland,2023-03-02,40.9,29.7,33.8,39.7,29.7,33.5,27.7,78.6,0,0,0,,0,0,11.6,4,256,1018.4,63.2,15,144.1,12.5,5,10,2023-03-02T07:08:21,2023-03-02T18:15:00,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
liestal switzerland,2023-03-03,45.4,29.6,35.7,44.3,29.6,35.1,28.2,75.1,0,0,0,,0,0,5.1,5.6,279.8,1020,8.1,15,188.3,16.3,6,10,2023-03-03T07:06:27,2023-03-03T18:16:29,0.37,Clear,Clear conditions throughout the day.,clear-day,
liestal switzerland,2023-03-04,45.8,28.3,35.5,44.5,28.3,35,27.8,75.3,0,0,0,,0,0,4.5,5.1,288.8,1021.5,3.2,15,167.4,14.6,6,10,2023-03-04T07:04:32,2023-03-04T18:17:59,0.4,Clear,Clear conditions throughout the day.,clear-day,
liestal switzerland,2023-03-05,45.4,27.9,34.9,43.4,27.9,34,28.5,79,0,14.3,0,,0,0,6.5,5.8,289.3,1017.4,12.1,15,169.1,14.6,6,10,2023-03-05T07:02:36,2023-03-05T18:19:28,0.43,Clear,Clear conditions throughout the day.,clear-day,
liestal switzerland,2023-03-06,40.7,28.7,34,36.2,25.3,30.6,28,79.2,0.008,14.3,8.33,"rain,snow",0,0,23.7,12.3,281.8,1012.5,91.8,14.7,97.3,8.5,3,10,2023-03-06T07:00:40,2023-03-06T18:20:57,0.46,Overcast,Cloudy skies throughout the day.,cloudy,
liestal switzerland,2023-03-07,39.3,23.3,30.9,36.3,23.3,28.5,21.7,70.8,0.059,9.5,8.33,"rain,snow",0.2,0.1,18.9,7.8,275.9,1013.5,42.5,13.3,174.9,15,6,10,2023-03-07T06:58:43,2023-03-07T18:22:26,0.5,Partially cloudy,Partly cloudy throughout the day.,snow,
liestal switzerland,2023-03-08,42.3,22.7,31,40.2,18.3,29.7,17.4,59.1,0,38.1,0,,0,0,7.8,6,241.1,1005.9,37.3,15,178,15.5,6,10,2023-03-08T06:56:46,2023-03-08T18:23:54,0.53,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
liestal switzerland,2023-03-09,35.3,23.1,28.9,28.9,23.1,26.2,23.1,79.6,0.13,33.3,20.83,snow,0.4,0.2,11.6,9.4,311.1,1004.5,81.4,9.7,101.5,9,3,10,2023-03-09T06:54:48,2023-03-09T18:25:22,0.57,Partially cloudy,Partly cloudy throughout the day.,snow,
liestal switzerland,2023-03-10,40,18.4,29,39.3,12,25.3,17.7,66.3,0.032,33.3,8.33,snow,0.1,0.3,28.2,6,149.6,1011.8,65.3,13.4,161.6,13.8,5,10,2023-03-10T06:52:50,2023-03-10T18:26:50,0.6,Partially cloudy,Partly cloudy throughout the day.,snow,
liestal switzerland,2023-03-11,36.6,27.8,32.3,36,25.1,29,29,88,0.289,42.9,33.33,"rain,snow",1,0.6,30.9,10.1,277.3,1018.5,85.8,3,102.6,8.8,4,10,2023-03-11T06:50:51,2023-03-11T18:28:18,0.64,Partially cloudy,Partly cloudy throughout the day.,snow,
liestal switzerland,2023-03-12,36.9,22,27.8,36.9,18.6,27.5,24.4,87.7,0.04,38.1,12.5,snow,0.3,1.1,3.6,3.1,229,1032.2,75.8,10,163.3,14.2,5,10,2023-03-12T06:48:52,2023-03-12T18:29:46,0.67,Partially cloudy,Partly cloudy throughout the day.,snow,
liestal switzerland,2023-03-13,50.3,36.2,42.7,0,0,32.6,32.3,68.2,0.051,15,6,,,1.18,23.9,11,198.4,1020.5,4,14.3,,,,,2023-03-13T06:46:53,2023-03-13T18:31:13,0.71,Clear,,clear-day,
