name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
vancouver canada,2023-02-24,31,25.3,28.1,30.7,19.1,25.2,11.7,50.3,0,0,0,,0,0.1,14.3,5.2,71.2,1021.2,36.1,14.2,126.6,10.7,5,10,2023-02-24T07:04:46,2023-02-24T17:47:22,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71608099999,CWWA,71784099999,CWWK,71892099999,CWMM,71042099999,71201099999"
vancouver canada,2023-02-25,33.5,26.1,29.8,32.6,25.6,28.2,22.7,75.5,0.39,100,37.5,snow,1.9,0.4,18.8,5.6,61.2,1012.4,85.7,7.2,40.3,3.4,2,10,2023-02-25T07:02:49,2023-02-25T17:49:00,0.18,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CWWA,CWWK,CWMM"
vancouver canada,2023-02-26,40.2,31.7,35.1,39.7,26.4,31.2,31.4,87,0.395,100,45.83,"rain,snow",3,4.6,25.1,22.4,78.9,999.5,71.1,5.8,123.4,10.4,5,10,2023-02-26T07:00:52,2023-02-26T17:50:38,0.21,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"CWWA,CWWK,CWMM"
vancouver canada,2023-02-27,39.8,32.6,35.6,35,25.7,29.9,31.5,85.3,0.052,60,20.83,"rain,freezingrain,snow",0.8,2.6,12.8,8.9,70.7,997.6,81.8,10.1,113.9,9.8,4,10,2023-02-27T06:58:53,2023-02-27T17:52:16,0.25,"Snow, Rain, Freezing Drizzle/Freezing Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow.,snow,
vancouver canada,2023-02-28,38.7,31.7,35.2,34.7,25.6,30,31.5,86.5,0.048,59,16.67,"rain,freezingrain,snow",0,2,9.8,7.2,304.3,1001.2,64.6,10.1,118,9.9,4,10,2023-02-28T06:56:54,2023-02-28T17:53:53,0.28,"Snow, Rain, Freezing Drizzle/Freezing Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,
vancouver canada,2023-03-01,39.5,29.6,34.7,35.6,23.3,29.1,30.1,83.3,0.032,75,12.5,"rain,snow",1,2.7,14.8,9.5,108.4,1017.2,65.3,7.8,104,9,4,10,2023-03-01T06:54:55,2023-03-01T17:55:30,0.31,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow.,snow,
vancouver canada,2023-03-02,43.4,36.2,39.2,37,27.6,31.7,35.6,87.3,0.179,96,29.17,"rain,snow",4.6,6,22.6,15,205.5,1015.1,72.8,4.1,85.8,7.5,3,10,2023-03-02T06:52:54,2023-03-02T17:57:07,0.35,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,
vancouver canada,2023-03-03,41.3,34.1,37.9,34.7,27.5,30.8,34.2,86.6,0.087,70,16.67,"rain,snow",0,5.2,21,14.1,129.4,1018.3,71.1,9.1,71.8,6,2,10,2023-03-03T06:50:53,2023-03-03T17:58:43,0.38,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow.,rain,
vancouver canada,2023-03-04,43.8,37.7,39.6,37.7,28.9,32.5,34.5,81.9,0.103,63,25,"rain,snow",0,3.5,21.5,15,94.1,1000.2,83.1,9.8,74.4,6.3,3,10,2023-03-04T06:48:51,2023-03-04T18:00:19,0.41,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,
vancouver canada,2023-03-05,42.9,36.4,39,38.4,30.2,33.6,34.3,83.3,0.095,46,12.5,"rain,snow",0.5,2.4,12.5,8.5,67.8,1005.1,69.1,8.1,78.1,6.9,3,10,2023-03-05T06:46:48,2023-03-05T18:01:55,0.44,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,
vancouver canada,2023-03-06,36.4,32.1,34.2,31.1,26.9,28.7,32.5,93.7,1.048,19,25,"rain,snow",2.7,2.5,20.8,7.5,63.4,1014.2,89.7,7.7,13.1,1.1,0,10,2023-03-06T06:44:45,2023-03-06T18:03:31,0.48,Partially cloudy,Partly cloudy throughout the day.,snow,
vancouver canada,2023-03-07,40.9,27.4,33.6,40.9,23.3,31.6,31.3,91.1,0.004,14.3,4.17,rain,0,3.2,5.9,4.9,28.1,1015.8,74.1,8.4,135.8,11.7,5,10,2023-03-07T06:42:42,2023-03-07T18:05:06,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
vancouver canada,2023-03-08,37.8,24.2,29.9,37.8,18.2,27.9,24.5,80.3,0,33.3,0,,0,2.1,8.5,5.1,44.4,1011.5,63.7,14.3,142.4,12,5,10,2023-03-08T06:40:38,2023-03-08T18:06:41,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
vancouver canada,2023-03-09,35,21.6,27.1,34.9,17.1,24.1,18.9,71.6,0,28.6,0,,0,1.5,8.4,4.5,17.6,1008,57.2,14.9,172.3,14.7,6,10,2023-03-09T06:38:33,2023-03-09T18:08:16,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
vancouver canada,2023-03-10,36.6,21.8,29.6,33.1,15.7,24.9,23.8,79.6,0.039,33.3,12.5,"rain,snow",0.2,1.2,11.9,5.1,63.9,1004,86.5,13.1,135.1,11.7,4,10,2023-03-10T06:36:28,2023-03-10T18:09:50,0.62,Partially cloudy,Partly cloudy throughout the day.,snow,
vancouver canada,2023-03-11,41.4,32.4,35.6,37.2,27.5,31.3,34.1,94.3,0.531,47.6,33.33,"rain,snow",1,1.6,22.6,11.2,153.4,1010.3,99.7,4.9,62.5,5.4,3,10,2023-03-11T06:34:22,2023-03-11T18:11:25,0.65,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,snow,
vancouver canada,2023-03-12,40.5,34.1,37.7,37.5,31.5,34.7,37,97.2,0.217,61.9,33.33,rain,0,1.1,11.9,4.9,47.3,1029.1,99.8,2.9,43.2,3.6,1,10,2023-03-12T07:32:16,2023-03-12T19:12:59,0.69,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,
vancouver canada,2023-03-13,50.8,41.4,45.8,0,0,35,39.1,78.4,0.295,33.3,14,,,,25.1,19.2,155.6,1012.9,15.7,15.7,,,,,2023-03-13T07:30:10,2023-03-13T19:14:33,0.72,Clear,,clear-day,
vancouver canada,2023-03-14,49.9,41.8,45.4,0,0,34.8,39.3,80.3,0.307,28.6,12,,,,28.6,18.1,150.3,1014.3,11.9,16.6,,,,,2023-03-14T07:28:04,2023-03-14T19:16:06,0.75,Clear,,clear-day,
vancouver canada,2023-03-15,49.2,41.3,44.9,0,0,34.2,38.9,80.7,0.276,28.6,12,,,,34.9,19.2,154.7,1014,15.3,15.3,,,,,2023-03-15T07:25:57,2023-03-15T19:17:40,0.79,Clear,,clear-day,
vancouver canada,2023-03-16,48.8,39.6,44.3,0,0,33,37.7,78.3,0.177,14.3,6,,,,30.9,19.7,172.9,1015.9,14.2,16.7,,,,,2023-03-16T07:23:50,2023-03-16T19:19:13,0.83,Clear,,clear-day,
vancouver canada,2023-03-17,48.8,39.8,44.1,0,0,33,36.2,74.9,0.13,9.5,4,,,,25.1,17.7,166.8,1018.2,15.5,18.3,,,,,2023-03-17T07:21:43,2023-03-17T19:20:46,0.86,Clear,,clear-day,
vancouver canada,2023-03-18,49.4,40.4,44.5,0,0,33.7,37.1,76.3,0.213,14.3,6,,,1.18,26.8,18.1,166,1017.5,17.5,17,,,,,2023-03-18T07:19:35,2023-03-18T19:22:19,0.9,Clear,,clear-day,
