name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
washington dc,2023-02-24,65.5,41.8,54.6,65.5,34.6,52.8,27.3,35.7,0,0,0,,0,0,45.7,27.6,323.5,1024.2,44.2,9.9,186.6,16.1,7,10,2023-02-24T06:47:53,2023-02-24T17:55:25,0.14,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2023-02-25,39.3,33.5,36.5,36.8,26.9,31.4,25.2,65.3,0.011,100,4.17,"rain,snow",0.2,0.1,17.2,12,75.2,1027.9,92.3,9.2,80.1,6.8,4,10,2023-02-25T06:46:29,2023-02-25T17:56:30,0.18,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,snow,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2023-02-26,58,36.8,44.2,58,32.1,40.7,34.6,71.4,0,0,0,rain,0,0,21.9,13.4,225.8,1015.9,63.1,9.6,137.6,12,6,10,2023-02-26T06:45:05,2023-02-26T17:57:34,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,KADW,KDAA"
washington dc,2023-02-27,45.9,36.9,42.8,42.5,33.1,39,31.7,65.9,0.227,94,16.67,rain,0,0,21.9,13.9,111,1010.5,69.8,8.5,118,10.1,5,10,2023-02-27T06:43:41,2023-02-27T17:58:38,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
washington dc,2023-02-28,61.1,44,50.7,61.1,41.4,49.3,42,74.8,0.189,94,8.33,rain,0,0,20.8,13.9,303,1004.8,49.1,8.4,182.6,16.2,5,10,2023-02-28T06:42:15,2023-02-28T17:59:42,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,
washington dc,2023-03-01,59.6,38.2,49.2,59.6,34.8,47.8,38.5,67.8,0,11,0,,0,0,21.9,14.3,148.2,1014.8,29.4,12.1,179.6,15.7,5,10,2023-03-01T06:40:49,2023-03-01T18:00:46,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
washington dc,2023-03-02,63.6,50.2,56.5,63.6,50.2,56.5,45,67.4,0.064,72,20.83,rain,0,0,20.6,13.4,262.4,1008.5,74.7,13.8,108.3,9.2,3,10,2023-03-02T06:39:22,2023-03-02T18:01:49,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,
washington dc,2023-03-03,48.9,41.1,44.2,44,33.2,36.6,37.1,76.5,0.346,95,29.17,rain,0,0,31.5,21.3,53,996.2,81.6,8.6,10.4,0.9,0,10,2023-03-03T06:37:54,2023-03-03T18:02:52,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
washington dc,2023-03-04,44.5,35,39.8,38.3,25.4,31.9,26.7,60.5,0.012,74,4.17,rain,0,0,26.4,17.5,320.1,1008.1,27.5,15,223.5,19.6,6,10,2023-03-04T06:36:26,2023-03-04T18:03:54,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
washington dc,2023-03-05,49.4,32.1,40.1,43.9,24.7,33.6,25.4,56.8,0,8,0,,0,0,21.3,14.5,306.5,1024.1,24.2,15,227.1,19.7,6,10,2023-03-05T06:34:57,2023-03-05T18:04:56,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
washington dc,2023-03-06,52.6,34.6,43.4,52.6,29.3,40.4,24.3,49.3,0,5,0,,0,0,13,8.1,255.1,1026.9,57.6,15,166.9,14.4,6,10,2023-03-06T06:33:27,2023-03-06T18:05:58,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
washington dc,2023-03-07,46.7,41.4,44.5,43.2,37.4,41.8,34.9,69.1,0.024,14.3,8.33,rain,0,0,23,6.9,330.1,1022.6,89.6,15,38,3.5,1,10,2023-03-07T06:31:57,2023-03-07T18:07:00,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
washington dc,2023-03-08,41.4,33.7,37.6,37.8,27.9,32.5,33,84.1,0.182,47.6,25,rain,0.2,0.1,32.2,11.6,135.9,1016.7,87.2,13.1,20,2,1,10,2023-03-08T06:30:27,2023-03-08T18:08:01,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,
washington dc,2023-03-09,38,27.4,33.3,28.8,14.3,22.8,17.5,52.8,0,23.8,0,,0,0,48.8,19.7,311.7,1020.6,34.6,15,225.8,19.5,7,10,2023-03-09T06:28:56,2023-03-09T18:09:03,0.58,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
washington dc,2023-03-10,40.5,26.9,32.4,33,16.4,23.5,12.4,44.4,0,23.8,0,,0,0,33.8,15.2,315.8,1028.3,28,15,226,19.5,8,10,2023-03-10T06:27:24,2023-03-10T18:10:03,0.61,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
washington dc,2023-03-11,40.7,25.8,32.6,37.4,17.7,27.1,10.9,41.4,0,33.3,0,,0,0,21.5,9.4,348.8,1029.2,64.3,15,210.3,17.9,7,10,2023-03-11T06:25:52,2023-03-11T18:11:04,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
washington dc,2023-03-12,33.5,29.6,32,28.2,23.9,25.3,23.2,71.4,0.137,38.1,16.67,"rain,snow",0.4,0.2,15.2,10.3,71.9,1030.6,89.2,10.2,110.5,9.5,3,10,2023-03-12T07:24:20,2023-03-12T19:12:04,0.68,Partially cloudy,Partly cloudy throughout the day.,snow,
washington dc,2023-03-13,55.8,38.9,46.8,0,0,82.5,31.5,58,0.079,9.5,4,,,1.18,29.3,16.6,183,1017.6,63.2,8.9,,,,,2023-03-13T07:22:47,2023-03-13T19:13:05,0.72,Partially cloudy,,partly-cloudy-day,
washington dc,2023-03-14,56.4,40,47.7,0,0,32.4,32.3,59,0.138,9.5,4,,,1.57,32.2,17,193.8,1016.2,60.1,9,,,,,2023-03-14T07:21:15,2023-03-14T19:14:05,0.75,Partially cloudy,,partly-cloudy-day,
washington dc,2023-03-15,58.6,42,49.9,0,0,31.5,33.3,56.6,0.051,9.5,4,,,1.18,36.2,18.8,213.6,1015.3,55.3,9.4,,,,,2023-03-15T07:19:41,2023-03-15T19:15:04,0.79,Partially cloudy,,partly-cloudy-day,
washington dc,2023-03-16,56.6,40.5,48.1,0,0,32.3,33.9,61.7,0.189,9.5,4,,,1.18,28.6,15.2,172.8,1016.7,64.8,8.8,,,,,2023-03-16T07:18:08,2023-03-16T19:16:04,0.82,Partially cloudy,,partly-cloudy-day,
washington dc,2023-03-17,54.1,38.9,46.3,0,0,31.2,31.5,59.9,0.043,0,0,,,6.02,26.2,15.2,189.8,1018.4,58.7,8.9,,,,,2023-03-17T07:16:34,2023-03-17T19:17:03,0.86,Partially cloudy,,partly-cloudy-day,
washington dc,2023-03-18,56,39.3,47.4,0,0,31.7,29.6,54.7,0.043,9.5,4,,,4.06,27.5,15.7,190,1019.8,52.9,9,,,,,2023-03-18T07:15:00,2023-03-18T19:18:03,0.89,Partially cloudy,,partly-cloudy-day,
washington dc,2023-03-19,56.6,39.6,47.7,0,0,32.4,31.7,57.6,0.071,9.5,4,,,,25.1,16.1,195.8,1021.2,57.3,9.4,,,,,2023-03-19T07:13:26,2023-03-19T19:19:02,0.93,Partially cloudy,,partly-cloudy-day,
washington dc,2023-03-20,54.4,39.6,47,0,0,31.9,31.9,60.4,0.217,19,8,,,,26.2,16.8,181.7,1020.5,61.6,8.7,,,,,2023-03-20T07:11:52,2023-03-20T19:20:01,0.96,Partially cloudy,,partly-cloudy-day,
washington dc,2023-03-21,53.7,39.6,46.5,0,0,31.2,33.3,63.4,0.295,9.5,4,,,3.23,26.4,16.1,209.4,1017,63.2,8.4,,,,,2023-03-21T07:10:18,2023-03-21T19:20:59,0,Partially cloudy,,partly-cloudy-day,
washington dc,2023-03-22,56.4,40.2,47.9,0,0,29.9,30.5,53.8,0.047,4.8,2,,,1.69,33.3,19.2,243.9,1017.3,51.5,9.5,,,,,2023-03-22T07:08:44,2023-03-22T19:21:58,0.03,Partially cloudy,,partly-cloudy-day,
washington dc,2023-03-23,56.6,39.6,47.7,0,0,80.9,28.3,50,0.106,0,0,,,,31.5,16.8,205.9,1019.2,46.3,9.4,,,,,2023-03-23T07:07:09,2023-03-23T19:22:56,0.06,Partially cloudy,,partly-cloudy-day,
washington dc,2023-03-24,56.9,40,48.3,0,0,31.5,31,54.7,0.02,4.8,2,,,,24.8,14.3,179.8,1019.6,57.5,9.3,,,,,2023-03-24T07:05:35,2023-03-24T19:23:55,0.1,Partially cloudy,,partly-cloudy-day,
washington dc,2023-03-25,57.5,41.4,49.4,0,0,33.5,34.6,59.7,0.059,0,0,,,1.57,25.7,15,190.4,1018.6,59.5,9.2,,,,,2023-03-25T07:04:00,2023-03-25T19:24:53,0.13,Partially cloudy,,partly-cloudy-day,
